Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Gender (product.metafields.custom.gender),Source SKU (product.metafields.custom.source_sku),Source URL (product.metafields.custom.source_url)
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,JP7149-11,197613219537,Color,Black/White,,Size,11,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,JP7149-11-5,197613219667,Color,Black/White,,Size,11.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,JP7149-12,197613219643,Color,Black/White,,Size,12,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,JP7149-12-5,197613215898,Color,Black/White,,Size,12.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,JP7149-13,197613215881,Color,Black/White,,Size,13,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,JP7149-14,197613215928,Color,Black/White,,Size,14,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_03?wid=1600&hei=1600&fmt=png-alpha,2,adidas Adizero Evo SL Men's Running Shoes - Black/White - view 2,,,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_04?wid=1600&hei=1600&fmt=png-alpha,3,adidas Adizero Evo SL Men's Running Shoes - Black/White - view 3,,,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_05?wid=1600&hei=1600&fmt=png-alpha,4,adidas Adizero Evo SL Men's Running Shoes - Black/White - view 4,,,,,,,,
,adidas-adizero-evo-sl-men-black-white-jp7149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/JP7149_06?wid=1600&hei=1600&fmt=png-alpha,5,adidas Adizero Evo SL Men's Running Shoes - Black/White - view 5,,,,,,,,
